Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
,Saccolaimus flaviventris,Tachyglossus aculeatus,Petaurus australis,Vespadelus baverstocki,,,Pteropus alecto
,Scoteanax rueppellii,Taphozous georgianus,Petaurus breviceps,Vespadelus darlingtoni,,,Pteropus scapulatus
,Scotorepens balstoni,Taphozous hilli,Petaurus gracilis,Vespadelus finlaysoni,,,Rattus fuscipes
,Scotorepens greyii,Taphozous kapalgensis,Petaurus norfolcensis,Vespadelus regulus,,,Rattus tunneyi
,Scotorepens orion,Trichosurus vulpecula,Petaurus notatus,Vespadelus vulturnus,,,Rattus villosissimus
,Setirostris eleryi,Vespadelus baverstocki,Petrogale assimilis,Vombatus ursinus,,,Rhinonicteris aurantia
,Sminthopsis crassicaudata,Vespadelus caurinus,Petrogale coenensis,Wallabia bicolor,,,Saccolaimus flaviventris
,Sminthopsis leucopus,Vespadelus finlaysoni,Petrogale godmani,,,,Saccolaimus saccolaimus
,Sminthopsis macroura,Vespadelus vulturnus,Petrogale herberti,,,,Scotorepens balstoni
,Sminthopsis murina,Xeromys myoides,Petrogale inornata,,,,Scotorepens greyii
,Syconycteris australis,Zyzomys argurus,Petrogale mareeba,,,,Scotorepens sanborni
,Tachyglossus aculeatus,Zyzomys maini,Petrogale penicillata,,,,Setirostris eleryi
,Thylogale stigmatica,Zyzomys palatalis,Petrogale persephone,,,,Setonix brachyurus
,Thylogale thetis,Zyzomys pedunculatus,Petrogale purpureicollis,,,,Sminthopsis butleri
,Trichosurus caninus,,Petrogale sharmani,,,,Sminthopsis crassicaudata
,Trichosurus cunninghami,,Petrogale wilkinsi,,,,Sminthopsis dolichura
,Trichosurus vulpecula,,Petrogale xanthopus,,,,Sminthopsis fuliginosa
,Vespadelus baverstocki,,Petropseudes dahlii,,,,Sminthopsis gilberti
,Vespadelus darlingtoni,,Phalanger mimicus,,,,Sminthopsis granulipes
,Vespadelus pumilus,,Phascogale tapoatafa,,,,Sminthopsis hirtipes
,Vespadelus regulus,,Phascolarctos cinereus,,,,Sminthopsis macroura
,Vespadelus troughtoni,,Phoniscus papuensis,,,,Sminthopsis nitela
,Vespadelus vulturnus,,Pipistrellus adamsi,,,,Sminthopsis ooldea
,Vombatus ursinus,,Pipistrellus westralis,,,,Sminthopsis psammophila
,Wallabia bicolor,,Planigale gilesi,,,,Sminthopsis youngsoni
,Xeromys myoides,,Planigale ingrami,,,,Tachyglossus aculeatus
,,,Planigale maculata,,,,Taphozous georgianus
,,,Planigale tenuirostris,,,,Taphozous hilli
,,,Pogonomys sp,,,,Taphozous kapalgensis
,,,Potorous tridactylus,,,,Tarsipes rostratus
,,,Pseudantechinus macdonnellensis,,,,Trichosurus vulpecula
,,,Pseudantechinus mimulus,,,,Vespadelus baverstocki
,,,Pseudocheirus peregrinus,,,,Vespadelus caurinus
,,,Pseudochirops archeri,,,,Vespadelus douglasorum
,,,Pseudochirulus cinereus,,,,Vespadelus finlaysoni
,,,Pseudochirulus herbertensis,,,,Vespadelus regulus
,,,Pseudomys australis,,,,Wyulda squamicaudata
,,,Pseudomys delicatulus,,,,Xeromys myoides
,,,Pseudomys desertor,,,,Zyzomys argurus
,,,Pseudomys gracilicaudatus,,,,Zyzomys woodwardi
,,,Pseudomys hermannsburgensis,,,,
,,,Pseudomys johnsoni,,,,
,,,Pseudomys mimulus,,,,
,,,Pseudomys nanus,,,,
